type,priority,summary
Bug,Minor,Queryplan for a query using SESSION schema view is incorrectly put in statement cache. This could cause incorrect plan getting executed later if a temp. table is created with that name.
Bug,Major,Passing the return of  a RETURN NULL ON NULL INPUT function to another function call throws linkage error.
Bug,Trivial,Error message  X0X07  has incorrect property name  db2j.database.classpath instead of derby.database.classpath
Bug,Minor,SecurityException or LinkageException thrown during loading a class from a database jar incorrectly shuts the engine down.
Bug,Major,DatabaseMetaData.getColumns() fails on iSeries JDK 1.4 with verfier error on generated class.
Bug,Major,Result set holdability defined inside stored procedures is ignored by server/client
Improvement,Major,Expose BOOLEAN datatype to end users
Bug,Minor,SELECT DISTINCT returns duplicates when selecting from subselects
Improvement,Major,Integrate upgrade tests into test suite
Bug,Major,getAsciiStreamshould replace non-ASCII characters with 0x3f  '?'  to match embedded
Bug,Major,Incorrect insane build on windows platform
Bug,Major,ClientDriver ignores Properties object in connect(String url  Properties connectionProperties) method
Bug,Minor,The current build.properties for the Derby Help Plug-in for Eclipse does not work for creating a deployable plug-in
Bug,Major,Loading databases from jars in the classpath is broken  databases cannot be found.
Bug,Minor,Read-only databases fail to boot after soft upgrade. Raises error message:  40XD1: Container was opened in read-only mode.
Bug,Major,Dynamic parameter should be allowed to be the operand of unary operator '-'. Derby throws exception 42X36: The '-' operator is not allowed to take a ? parameter as an operand.'
Bug,Major,Using derby.language.logStatementText=true can mask certain exceptions and lead to incorrect behavior in some cases
Bug,Major,SYSCS_UTIL.SYSCS_INPLACE_COMPRESS_TABLE fails on (very) large tables
Bug,Major,Make the client driver connection URL work when spaces are in the URL.
Bug,Minor,sysinfo incorrectly requires permission on Derby jar files
Bug,Minor,Derby monitor accesses two system properties without using a privileged block when built sane=true
Bug,Major,create trigger fails with null pointer exception
Bug,Major,Subquery materialization can cause stack overflow
Bug,Major,Network driver setTransactionIsolation() causes a commit  but does not complete it locally
Improvement,Minor,SELECT MAX doesn't use indices optimally
Bug,Major,getImportedKeys returns duplicate rows in some cases
Bug,Major,SecurityException with accessDeclaredMembers on DatabaseMetaData.getTables.
Bug,Blocker,during crash recovery of a drop table  on case insensitive files systems derby may delete wrong file
Improvement,Minor,Remove backup(File ...) methods
Bug,Minor,Build-time processing of 'metadata.properties' file handles slashes incorrectly.
Bug,Major,In ij  executing a prepared statement with numeric/decimal parameter fails with NullPointerException in J2ME/CDC/FP
Bug,Minor,Add tests for error codes for severe exceptions
Bug,Trivial,NullPointerException or ClassCastException if UPDATE or DELETE is performed on a diagnostic VTI
Bug,Major,Network client: deleteRow() makes getter methods return nulls for the following rows.
Bug,Major,Unable to create databases whose name containg Chinese characters through the client driver
Improvement,Major,Starvation in RAFContainer.readPage()
Improvement,Minor,SYSCS_UTIL.SYSCS_COMPRESS_TABLE should create statistics if they do not exist
Bug,Minor,Problem setting sanity state to false by using 'ant -Dsane=false'
Improvement,Major,Materialize subqueries in select list where possible to avoid creating invariant resultsets many times.
Improvement,Major,Enhance ALTER TABLE syntax to allow users to change the next value to be generated for an identity column
Bug,Major,cursor closed as a sideeffect of closing another cursor with the same name on another connection
Improvement,Major,Allow parallel access to data files.
Improvement,Minor,One each deleted or updated from a heap row a new RowPosition object is created.
Bug,Minor,Incorrect documentation for 'NetworkServerControl.logConnections(boolean)'
Improvement,Minor,Client driver: Pre-fetch data on executeQuery()
Improvement,Minor,modify setCharacterStreamInternal to take a long for the length  and perform the > max int check in the method
Bug,Major,LDAP user authentication fails under a security manager
Bug,Minor,Intermittent failure of store/readlocks.sql
Bug,Minor,add mechanism for specifying policy file for individual function tests
Bug,Major,Remove use of String(byte[]) and String(byte[]  int  int) constructors in testing leading to non-portable behaviour
Bug,Critical,big decimal error diff in derbyall lang/procedure test run in the DerbyNetClient - jdk1.3 specific
Improvement,Major,introduce a new test type to run junit tests from the current harness
Improvement,Major,new JDBC4 metadata API getFunctions() needs to be implemented
Bug,Minor,NullPointerException at ResultSet.close() time for simple query using UNION and INTERSECT
Bug,Minor,Error 22001 can include 'XX-RESOLVE-XX' which should be removed
Bug,Minor,DatabaseMetadata method supportsResultSetConcurrency returns wrong result on network client
Bug,Critical,creating a preparedStatement outside of a Global tran using a ClientXADatasource  will result in an 'SqlException: Cannot set holdability'  if the statement  is used in a Global transaction
Bug,Minor,tests derbynet/csPrepStmt and prepStmt use mechanisms that are not portable over encodings
Bug,Minor,unit/daemonService.unit fails intermittently: 'ran out of time'
Bug,Minor,store/access.sql fails - incorrect index?
Bug,Trivial,tests jdbcapi/SURTest.junit and jdbcapi/SURQueryMixTest.junit run twice in derbynetclientmats
Bug,Minor,Optimizer can return incorrect 'best cost' estimates with nested subqueries  which leads to generation of sub-optimal plans.
Bug,Major,Embedded ResultSet.getStatement() does not return the Statement object that created it  for a connection returned from EmbeddedXADataSource
Bug,Minor,new test lang/ShutdownDatabase.java fails with j2ME
Bug,Major,forupdate.sql   holdCursorIJ.sql ..etc are failing when run with 10.1 client againest trunk
Bug,Minor,JVMInfo is duplicated in derbyclient.jar
Bug,Major,test jdbcapi/checkDataSource30 and savepointJdbc30_XA fail with remote server with security exceptions
Bug,Minor,Security.AccessControlException in client under SecurityManager when trying to connect using EUSRIDPWD security mechanism
Improvement,Minor,Change the internal implemetation of SYSCS_INPLACE_COMPRESS_TABLE to share existing alter table
Bug,Major,Delete cascade causes NULL values inserted into table when after delete Trigger fires
Bug,Minor,Misleading/wrong error message while dropping a view
Bug,Major,Derby fails inserting a join into a table with a generated column
Bug,Minor,Test harness does not pass jvm flags properly if there are more than 1 property in jvm flags
Bug,Minor,ResultSet.getHoldabilty will return incorrect value when the ResultSet is obtained from a procedure call
Bug,Major,For existing databases JDBC metadata queries do not get updated properly  between maintenance versions.
Bug,Critical,transaction logs files requried for recovery are getting deleted when backup and checkpointas are running in parallel.
Bug,Major,client gives SqlException for test callable.java and parameterMapping.java on zOS
Bug,Minor,jdbc4/TestDbMetaData.java fails because of changes in SQLException text
Bug,Major,compatibility tests fail with security related errors.
Bug,Major,Truncation Error with Concat
Bug,Major,With client PooledConnection.getConnection() does not reset holdability and isolation state properly
Bug,Major,Failures in sysinfo and sysinfo_withproperties induced by classpath wiring
Bug,Minor,derbynet/testSecMec.java fails with Sun JDK 1.3
Improvement,Major,Separate XAResource from EmbedXAConnection
Improvement,Minor,allow the encrypting of an existing unencrypted db and allow the re-encrypting of an existing encrypted db
Improvement,Minor,Helper methods in BaseJDBCTestCase for creating data sources
Bug,Minor,PreparedStatement.executeUpdate throws a XJ05C exception in a global transaction if the statement is HOLD_CURSORS_OVER_COMMIT
Bug,Minor,NullPointerException in network server with LDAP authentication
Bug,Minor,defragment of inplace compress pass for described dataset is not freeing up empty pages.
Bug,Minor,Network Server reports wrong product name when logging connections to derby.log
Bug,Minor,Derby Server and Administration Guide - Servlet interface - Running page
Improvement,Minor,ij should have a --help option to print command line syntax
Bug,Minor,jdbcapi/checkDataSource.java and jdbcapi/checkDataSource30.java hang intermittently with client
Improvement,Trivial,Remove the huge log files (TesterN.out) left from running 'stress/stress.multi'
Bug,Major,LIKE does not match empty strings when used with a prepared statement
Improvement,Major,Move isPoolable() and setPoolable() from PreparedStatement to Statement
Improvement,Major,Verify that applications can't manipulate the transaction state while inside a distributed transaction.
Bug,Major,Assert failure in BasePage.shiftUp() when running store/onlineBackupTest4.sql
Bug,Minor,Old clients with new server return wrong database metadata values for some methods
Bug,Major,XAConnection uses NetConnection as underlying physical connection for JDBC4/Java 1.6
Improvement,Major,Implement new JDBC4 methods for creating empty LOBs in the embedded client
Bug,Minor,Client: Attempted deleteRow or updateRow while on insert row gives wrong error message
Bug,Major,Network Server does not shutdown the databases it has booted when started and shutdown from the command line
Improvement,Minor,Calling ResultSet.isLast() on a scrollable insensitive resultset  causes the entire ResultSet to be populated
Bug,Minor,Resolve test failures with JCC2.8
Bug,Minor,Tests jdbcapi/HoldabilityTest.junit  jdbcapi/UpdateXXXTest.junit jdbcapi/SURTest.junit fail on wctme5.7_foundation
Improvement,Major,SUR: Use DRDA's extended diagnostic to send ROW_UPDATED and ROW_DELETED warnings.
Bug,Major,Differences between client and embedded when invoking stored procedures using Statement.executeUpdate()
Bug,Minor,Test lang/procedure.java fails with ibm1.5 jvm
Bug,Minor,Missing resets of isOnInsertRow state in net client when navigating away via other than ResultSet#next
Bug,Major,Need to remove old copyright notice
Bug,Major,Isolation level of local connection does not get reset after exiting a global transaction if the isolation level was changed using SQL
Bug,Major,Identity column can be  created with wrong and very large start with value with  'J2RE 1.5.0 IBM Windows 32 build pwi32dev-20060412 (SR2)' with JIT on
Improvement,Minor,messages_pt_BR.properties file  should not translate Network Server 'start' and 'shutdown' commands
Bug,Minor,lang/forupdate.sql fails with derbyclient in the 10.1 branch
Bug,Major,ClientDriver ResultSetMetaData.isAutoIncrement(column) always returns false
Bug,Critical,Class-Path manifest entry for derby.jar is missing from the 10.2.0.2 snapshot
Improvement,Minor,add  lang/grantrevoke.java to derbynetclientmats
Improvement,Minor,File java/engine/org/apache/derby/loc/messages_en.properties - Message XSLAT.D
Bug,Critical,Interface changes introduced in Mustang build 86
Bug,Critical,Wrong results with query using LIKE and ESCAPE clause that includes '%'  '/'  and '_'
Bug,Minor,Message id J029 (CONN_RESTORE_FROM) does not have a matching message text
Bug,Trivial,Typo in link to Simple Example from frameworks/readme.html
Bug,Major,setEmbeddedCP.ksh and setNetworkCleitn.ksh does not work or gives wrong error message
Bug,Minor,Using -Djvmflags option causes NoClassDefFoundError
Improvement,Major,Add MessageBundleTest to build script to verify that there are no orphaned message ids
Improvement,Major,Network Server should flush the PrintWriter after console output
Bug,Minor,Correct instructions in demo html file demo/simple/example.html
Improvement,Major,Provide ALTER TABLE DROP COLUMN functionality
Bug,Major,EmbeddedDriver does not implement PreparedStatement.setNull(int  int  String)
Improvement,Minor,testSecMec needs many masters - should convert to junit
Bug,Major,test run exits for _foundation run because unloadEmbeddedDriver uses driverManager  which isn't available.
Bug,Minor,'SQLBinary.readFromStream' can enter endless loop
Improvement,Major,Upgrade test needs to be enhanced to test grant revoke
Improvement,Minor,Factor out type checks in EmbedResultSet and EmbedPreparedStatement
Bug,Major,The Eclipse plug-in distributions (UI and Core zip files) do not contain the Apache license  copyright or notice files
Bug,Major,Unexpected behavior on self privilege revocation
Improvement,Major,A  trigger should be dropped when a privilege required by the trigger is revoked.
Bug,Minor,Make test jdbc4/TestPreparedStatement run under the security manager
Bug,Major,derbynet/testProtocol.java fails with security manager enabled
Bug,Minor,Derby JDBC 4.0 driver returns 3 for JDBC driver major version
Improvement,Minor,enable more testcases in ConcurrencyTest
Bug,Minor,NullPointerException in UPDATE with COALESCE and subquery
Bug,Minor,Link 'Getting Started....' and 'Apache Derby Server ....' in demo.html needs to be linked to actual documents instead of manuals page
Bug,Minor,Network server fails with DRDAProtocolException if a BLOB with size 2147483647 is streamed from client
Bug,Major,Scripts in frameworks direcotry needs to be revisted to set up CLASSPATH properly
Bug,Trivial,test harness evaluates j9 2.2 jvm (a.k.a wctme5.7) as isJDBC4; does enthousiastic sed-ing
Bug,Minor,derbyrunjartest hangs with wctme5.7 & always uses j9_13; hangs with _foundation
Bug,Trivial,new j9 canons required/canons need to be removed to catch up to changes to 7/27/06.
Bug,Major,Test harness overrides heap size settings when starting Network Server
Bug,Major,Lots of jdk1.6 regression test failures with diffs because of  SQL Exception instead of java.sql.SQLException
Bug,Major,Sysinfo in 10.2  shows multiple entries if the derby jars reside in a directory with spaces in its name
Bug,Critical,Trigger action statement is not recompile when there is a change that would affect it.
Bug,Critical,NetConnection40 references an engine class  org.apache.derby.impl.jdbc.Util
Improvement,Major,A  'revoke execute ... restrict' should fail if there are dependent objects on the execute privilege
Bug,Minor,NPE when inserting values to a table that has a column declared as generated by default as identity
Bug,Major,Create index on large tables fails with too many open files   FileNotFoundException.
Improvement,Minor,Network Server should not send to client that it supports EUSRIDPWD when running against Sun JVM
Bug,Major,Regression (wrong results): Join predicate can be ignored for left-most child in a chain of nested unions.
Bug,Minor,ConsistencyToken.hashCode() is not thread safe
Bug,Major,jdbcapi/blobclob4BLOB.java fails under DerbyNet framework with JCC 2.6
Bug,Major,Client driver does not use the query timeout value set using Statement.setQueryTimeout() for subsequent executions using the same statement object
Bug,Major,derbynet/testProperties.java hangs
Bug,Minor,testSecMec.java fails with JCC 2.6 and JCC 2.8
Improvement,Minor,Add more tests for Statement.setQueryTimeout method
Improvement,Major,Deprecate scripts in frameworks directory
Bug,Minor,huge single insert statements fail with JVM error due to size of generated method
Bug,Major,Invoking Java stored procedure that contains GRANT or REVOKE statement with CONTAINS SQL should fail.
Bug,Major,Manifest file doesn't contain OSGi attributes
Bug,Major,The language and store systems treat a JVM error such as OutOfMemoryError differently leading to the raw store protocol violation errors
Bug,Major,derbynet/testSecMec.java fails with NullPointerException (intermittent failure)
Improvement,Major,Implement Bracketed SQL comments (/*...*/ comments)
Bug,Minor,derbynet/testSecMec.java fails with ShutdownException in DerbyNetClient framework
Bug,Major,XMLSERIALIZE operator doesn't follow SQL/XML spec in some areas when serializing a sequence.
Bug,Minor,remote server testing with 10.2 snapshot showed 8 failures
Bug,Minor,ERROR 42Z72: XML syntax error; missing keyword(s): 'AS'. - Misleading text
Improvement,Minor,The database owner is incorrectly referred to as dba in the code comments that were checked in Derby 10.2 for grant revoke work. We should clean this up at some point.
Bug,Major,Embedded ResultSet.getTimestamp on a TIME column returns a java.sql.Timestamp with a date portion that can be incorrect.
Bug,Minor,Client's ResultSet.getTime() on a SQL TIMESTAMP column loses the sub-second resolution and always has a milli-second value of zero.
Bug,Major,Access rule violations should use a SQL state starting with '42' according to the SQL standard.
Bug,Major,lang/procedureInTrigger.sql fails with wctme5.7 foundation with CNFE  java.sql.DriverManager and other exceptions.
Bug,Minor,sysinfo test fails with 'access denied (java.util.PropertyPermission java.class.path read)' when derbyclient.jar is first in classpath
Bug,Minor,Correct message SQL State 01006 to reflect that is being revoked - 'user' and update the Ref Manual
Bug,Major,jdbcapi/blobclob4BLOB.java fails with JCC drivers
Improvement,Major,Create a script that allows users to easily update their Derby jars with the JDBC4 classes.
Bug,Major,Tests lang/grantRevokeDDL.sql and lang/grantRevokeDDL2.sql fails on IBM WCTME 5.7 Foundation (jdkJ2ME Foundation Specification v1.0)
Bug,Major,Assert failure in sane mode for queries that used to work in 10.1.2.1
Bug,Minor,largeDataTests/LobLimits master needs update for new exception names
Bug,Trivial,The source distribution for 10.2.1.4 rc1 includes derby.log files
Bug,Minor,error 58009.C.19  refers to non-existent codepoint secktn - needs correcting
Bug,Major,SQLSTATE 42X10 occurs when qualifying a column with a synonym in ORDER BY clause
Bug,Major,10.2.1.5 source distribution is missing many files and includes some files that it should not.
Bug,Major,The scripts under the /bin of the distribution does not have the executable permission
Bug,Major,ALTER TABLE DROP COLUMN needs to update GRANTed column privileges
Improvement,Major,Bring STATUS file up to date
Bug,Trivial,readme.html under frameworks does not mention about Derby client and some minor typos in example.html
Improvement,Major,Add re-encrytion  of database test cases to the upgrade test..
Improvement,Minor,Make FOR EACH clause and MODE DB2SQL in CREATE TRIGGER statement optional
Improvement,Minor,Remove stale code from the statement classes in the client driver
Improvement,Trivial,improve XSDG3 error to print container  actual i/o operation  and file name.
Bug,Minor,Routine parameter names displayed by dblook are not escaped.
Bug,Major,Junit tests that require SQL authorization mode should use a different database to the default one.
Improvement,Minor,Add Order Entry application/system/performance test/toolkit
Improvement,Minor,Convert jdbc4/TestJDBC40Exception.java to JUnit
Improvement,Minor,Convert jdbc4/TestDbMetaData.java to JUnit
Bug,Minor,Misleading stack traces for exceptions raised by the JDBC 4.0 embedded driver
Improvement,Minor,Use a lower wait timeout in BlobClob4BlobTest
Bug,Minor,NullPointerException with LTRIM  RTRIM and 2-argument SUBSTR() call in GROUP BY clause.
Bug,Major,ArrayIndexOutOfBoundsException for COALESCE with aggregate functions
Bug,Minor,NullPointerException in CREATE VIEW ... VALUES NULL;
Bug,Minor,jdbcapi.LobStreamsTest runs only in client (not embedded) but its suite() method gives no reason why.
Bug,Minor,Setting a login timeout in client driver can lead to query timeout
Bug,Minor,'set schema sys' followed by 'show tables' does not show tables in sys schema
Improvement,Minor,provide checking tool to flag possible errors in message translations
Bug,Major,Setting derby.database.classpath to contain installed jars causes the database to be unbootable when a Securitymanager is installed.
Improvement,Minor,Make class org.apache.derby.iapi.store.raw.PageKey final
Bug,Major,TestDataSourceFactory doesn't work correctly outside the old harness
Bug,Major,LangScripts JUnit test fails in views.sql
Bug,Major,JDBC.assertRowInResultSet compares the wrong value if using trimmed strings and a SMALLINT column exists.
Improvement,Minor,Rewrite 'derbynet/SuicideOfStreaming' to a JUnit test
Bug,Minor,NullPointerException when two threads load sort factory concurrently
Bug,Major,store/BootAllTest.junit fails on wctme5.7 foundation  on 10.2
Bug,Minor,After a Lexical Error due to syntax error      even a simple create table does not work  on the same connection.
Improvement,Major,Implement SSL/TLS communication between client and server
Improvement,Trivial,Let Clock embed a HashMap rather than inherit from Hashtable
Bug,Trivial,Test files missing svn:eol-style
Bug,Major,Intermittent failure in lang/compressTable.sql
Improvement,Trivial,Change some boundary checks in ArrayInputStream to ASSERTs to improve performance
Improvement,Major,Add long running System test for Derby
Improvement,Minor,Replace Vectors and Hashtables with ArrayLists and HashMaps in RAMTransaction
Improvement,Minor,Reduce use of synchronized collections in GenericLanguageConnectionContext
Bug,Major,suites.All falls over with foundation after revision 482433; java.lang.NoClassFoundError: javax.xml.parsers.DocumentBuilderFactory
Bug,Trivial,message XSDB8 and 42Y32 have references to db2j
Bug,Major,Trigger recompilation problem when trigger action has its table not qualified with a schema
Bug,Major,Nested triggers not working properly after maximum trigger count exception is thrown
Improvement,Minor,Add performance tests to Derby using the junit perf framework
Bug,Minor,DROP PROCEDURE depends on SET SCHEMA
Improvement,Major,java/testing/README.htm needs to be updated with information on JUnit tests
Bug,Major,Uncommitted transactions executed throught XAResource will held locks after the application terminates (or crashes during the transaction).
Bug,Major,'show indexes in SCHEMANAME' does not work with the client driver
Improvement,Trivial,Let BasePage.fetchFieldFromSlot use the special single-col FetchDescriptor ctor
Improvement,Minor,Test harness should support J2ME 1.1
Bug,Minor,compatibilitytest fails after DERBY-2121 change.
Bug,Major,Assert during log file switch: log file position exceeded max log file size
Bug,Minor,DatabaseMetaData.getTypeInfo() does not list supported Derby SQL types correctly.
Bug,Minor,DatabaseMetaData.getTypeInfo returns incorrect MAXIMUM_SCALE value for DECIMAL and NUMERIC types
Bug,Minor,bad logic in jvm:guessWSHome() in old test harness affects j9 runs
Improvement,Minor,AccessControlException when exiting junit.swingui.TestRunner
Improvement,Minor,Add a generic utility tool to drive the Order Entry load phase.
Bug,Minor,Missing sql script: '/org/apache/derbyTesting/functionTests/tests/lang/altertableDropColumn.sql'
Bug,Minor,compatibility/testScript.xml should include 10.2.2 in the server/client combinations
Improvement,Minor,Convert compatibility/testScript.xml to JUnit
Bug,Major,org.apache.derbyTesting.functionTests.suites.All is extremely CPU intensive since ~svn 507489
Bug,Major,Accessing a BLOB column twice in an INSERT trigger leads to errors in the value on-disk
Bug,Major,Use of XML values in the action statement of a trigger throw exceptions.
Bug,Major,ORDER BY with expression with distinct in the select list returns incorrect result
Bug,Major,Unable to perform select query using DISTINCT on a read-only database
Improvement,Minor,Code cleanups for the org.apache.derby.impl.store.access.* packages
Bug,Trivial,Modify compatibility/testScript.xml to not run embedded/jvm1.3 case any more - not valid after r509863
Bug,Major,EXISTS may return the wrong value for sub-queries involving set operations
Bug,Major,Setting a default value for a VARCHAR column fails when column contains data
Bug,Major,ParameterMappingTest fails due to ArrayIndexOutOfBoundsException  executing a procedure
Bug,Minor,XAResource.end does not set the XA transaction state correctly when the XAException is thrown
Improvement,Major,Provide collation sensitive subclasses for SQLChar  SQLVarchar  SQLLongvarchar and SQLClob which will use the passed Collator to do the collation rather than the default collation of UCS_BASIC
Improvement,Minor,ejbql and floattypes in org.apache.derbyTesting.functionTests.tests.lang.LangScripts intermittently fails with 'expected: but was:<[-0.0]  '
Bug,Major,Clob.Position returning wrong value when operating on Reader
Bug,Minor,File stream is left open when an exception occurs while setting up a character stream for data export.
Bug,Major,org.apache.derby.impl.store.access.BackingStoreHashTableFromScan does not honor ResultSet holdability
Bug,Minor,'Invalid transaction state...' in jdbcapi.SetTransactionIsolationTest
Bug,Minor,DriverManager.getConnection leaks memory when connecting to a non-existent database
Improvement,Minor,Convert syscat.sql to junit
Improvement,Minor,Enhance Derby with EXPLAIN Functionality
Bug,Trivial,Batch scripts in bin/ report extraneous errors when DERBY_HOME is invalid
Bug,Major,Unclosed ResultSets choke JUnit lang _Suite on java 6
Bug,Minor,Network Client allows execution of callable statement when one of the parameters is not set
Improvement,Minor,Convert lang/grantRevokeDDL and grantRevokeDDL2 to JUnit
Bug,Major,Client does not return SQLException on XAConnection.getXAResource() on a closed connection  Embedded does
Improvement,Major,Make Locale available in DataValueFactory(DVF). This Locale object will be used to construct Collator object if the user has requested territory based collation.
Bug,Major,testVirtualMemoryHeap junit test fails with 'Virtual memory heap test failed! Got unexpected value. expected: but was:'
Bug,Major,Code paths for db restore do not use doPrivileged-calls  causing SecurityException
Bug,Major,Missing asserts in ProcedureInTriggerTest
Bug,Major,ContextService.notifyAllActiveThreads()  and network server code need a privileged block around the calls to Thread.interrupt()
Improvement,Major,Create a utility which generates Release Notes
Improvement,Minor,AssertFailure class should use JDK's built-in chaining of exceptions
Improvement,Major,At code generation time  look at collation type to determine what kind of DVD should get generated for character types.
Bug,Trivial,Wrong description of IndexName field in public JavaDoc for LockTable
Bug,Minor,TIMESTAMP value is truncated  when return to client
Improvement,Minor,Derby should print the parameters to failed statements to the derby.log when it logs the error
Bug,Trivial,DatabaseMetaData is not consistent about throwing SqlException when tablename=null
Bug,Trivial,Queries in metadata.properties allow tablepattern for JDBC methods that do not allow patterns
Bug,Major,upgrade test incorrectly tries to test in place compress in 10.0 release.
Bug,Major,intermittent network startup related errors in running junit nightly test suite
Improvement,Minor,Expose existing auto-generated key functionality through more JDBC APIs in embedded mode.
Bug,Trivial,upgrade tests fail through BlobStoredProcedureTest and ClobStoredProcedureTest with JSR169
Improvement,Minor,Convert lang/dynamicLikeOptimization.sql to JUnit
Bug,Major,upgrade test failures with weme 6.1.
Improvement,Major,Convert jdbcapi/parameterMetaDataJdbc30.java to JUnit
Bug,Major,Errors/messages early in starting the network server through NetworkServerControl.start() are not reported to the PrintWriter passed into start().
Improvement,Major,performance of like in territory based collation databases may be improved by changing way collation elements are calculated.
Bug,Major,If large clob is updated after Reader. the reader continues to point to old data
Bug,Major,Ensure that a temporary file is not created for a lob obtained from resultset unless user updates it.
Improvement,Major,Implement not implemented Embedded methods Blob.getBinaryStream(long pos  long length) and Clob. getCharacterStream(long pos  long length)
Bug,Major,LIKE parameter marker combined with index multi-probing leads to ASSERT failure with sane jars  wrong results with insane jars.
Bug,Minor,jdbcapi/metadata.java and jdbcapi/odbc_metadata.java fail because of new procedure SYSCS_UTIL SYSCS_GET_USER_ACCESS
Bug,Minor,testLoadJavaClassIndirectly & als fails on JVM 1.4 with 'Unexpected SQL state. expected: but was:'  'Jar file 'MY_JAVA' already exists in Schema 'EMC''
Bug,Minor,org.apache.derby.impl.drda.DDMWriter might swallow unexpected exceptions
Bug,Major,Client connections should not fail if permission is not granted to read derby.client.traceLevel  and derby.client.traceDirectory
Bug,Minor,testBlobAfterCommit(....jdbcapi.BlobClob4BlobTest) fails with 'Unexpected SQL state. expected: but was:'
Bug,Minor,ij 'describe' built in command cannot describe a table named 'run'
Bug,Major,make entry for clob in connection so that temporary file is removed when a connection is closed or transaction is commited/rolledback
Bug,Major,DatabaseMetaData .locatorsUpdateCopy() should return true
Bug,Major,Obscure error messages when using SSL in various combinations
Bug,Minor,ASSERT failure with sane build if DISTINCT and ORDER BY are present in a query that selects from a diagnostic table function.
